OBJECTID,ain,ASI_Status,situsaddress,situscity,situszip,LV_IV_Ratio,YearBuiltMax,usecode,usetype,usedescription,Vacant_Use,Publicly_Owned,unitstotal,SupDist2021,Submarket_Area,plng_area,Comm_Name,Plan_Name,Zoning1,PctZngArea1,Zoning2,PctZngArea2,Zoning3,PctZngArea3,LUP1,PctLUPArea1,LUP2,PctLUPArea2,LUP3,PctLUPArea3,SP_LUP1,SP_LUP_Desc1,PctSpLupArea1,SP_LUP2,SP_LUP_Desc2,PctSpLupArea2,SP_LUP3,SP_LUP_Desc3,PctSpLupArea3,Acres,LUP_Units_Total,LUP_MinDens,LUP_MaxDens,Site_Status,Capacity_Inc_Very_Low,Capacity_Inc_Low,Capacity_Inc_Mod,Capacity_Inc_Abv_Mod,Realistic_Capacity,Income_Categories,Consolidation_ID,Lot_Size_Consolidated,Lot_Consolidation_Notes,Consolidation_Adj_APNs,Previous_HE,Shape__Area,Shape__Length
1,8435001026,Nonvacant,4315 N VINCENT AVE,COVINA CA,91722-3316,0.19841564,1961,7100,Institutional,Churches,Non Vacant Use,NO - Privately-Owned,0,1,San Gabriel Valley,East San Gabriel Valley Planning Area,EAST IRWINDALE,General Plan 2035,C-1-DP,100,,0,,0,CG,100,,0,,0,,,0,,,0,,,0,1.40980089,71,20 du/net ac,50 du/net ac,Available,24,24,0,0,48,VL/L,,,,,Not Used in Prior Housing Element,61410.9248,1037.621686
2,8420006017,Nonvacant,4514 N LARK ELLEN AVE,COVINA CA,91722-3133,1.85717305,1971,7200,Institutional,Schools (Private),Non Vacant Use,NO - Privately-Owned,0,1,San Gabriel Valley,East San Gabriel Valley Planning Area,EAST IRWINDALE,General Plan 2035,C-1,100,,0,,0,CG,100,,0,,0,,,0,,,0,,,0,0.79356522,40,20 du/net ac,50 du/net ac,Available,14,13,0,0,27,VL/L,,,,,Used in Prior Housing Element - Non-Vacant,34567.70313,897.9365054
3,8435024011,Nonvacant,15940 E SAN BERNARDINO RD,COVINA CA,91722-3939,2.75001592,1957,1100,Commercial,Stores,Non Vacant Use,NO - Privately-Owned,0,1,San Gabriel Valley,East San Gabriel Valley Planning Area,EAST IRWINDALE,General Plan 2035,C-1,100,,0,,0,CG,100,,0,,0,,,0,,,0,,,0,0.50893176,26,20 du/net ac,50 du/net ac,Available,9,9,0,0,18,VL/L,,,,,Used in Prior Housing Element - Non-Vacant,22169.06836,591.8029791
4,8620001019,Nonvacant,5569 N AZUSA AVE,AZUSA CA,91702-5544,2.10526316,1979,1100,Commercial,Stores,Non Vacant Use,NO - Privately-Owned,0,1,San Gabriel Valley,East San Gabriel Valley Planning Area,EAST IRWINDALE,General Plan 2035,C-2-BE,100,,0,,0,CG,100,,0,,0,,,0,,,0,,,0,0.7726249,39,20 du/net ac,50 du/net ac,Available,13,13,0,0,26,VL/L,,,,,Used in Prior Housing Element - Non-Vacant,33655.53516,723.1832612
5,5275011053,Nonvacant,8151 ARROYO DR,SOUTH SAN GABRIEL CA,91770-4153,1.90080787,1981,1100,Commercial,Stores,Non Vacant Use,NO - Privately-Owned,0,1,San Gabriel Valley,West San Gabriel Valley Planning Area,SOUTH SAN GABRIEL,General Plan 2035,C-1,100,,0,,0,CG,100,,0,,0,,,0,,,0,,,0,0.57060593,29,20 du/net ac,50 du/net ac,Available,10,10,0,0,20,VL/L,,,,,Not Used in Prior Housing Element,24855.58984,631.1887002
6,8661020901,Nonvacant,E Baseline Rd & N San Dimas Canyon Rd,,91773,0,0,2900,Commercial,Nurseries or Greenhouses,Non Vacant Use,YES - Special District-Owned,0,5,San Gabriel Valley,East San Gabriel Valley Planning Area,EAST SAN DIMAS,General Plan 2035,C-3,100,,0,,0,CG,100,,0,,0,,,0,,,0,,,0,0.86672357,44,20 du/net ac,50 du/net ac,Available,15,15,0,0,30,VL/L,,,,,Used in Prior Housing Element - Non-Vacant,37754.47852,976.7884603
7,8262007076,Nonvacant,525 N AZUSA AVE,LA PUENTE CA,91744-4260,1.53333308,1984,1200,Commercial,Store Combination,Non Vacant Use,NO - Privately-Owned,0,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,VALINDA,General Plan 2035,C-1,100,,0,,0,CG,100,,0,,0,,,0,,,0,,,0,1.20183775,61,20 du/net ac,50 du/net ac,Available,16,16,0,0,32,VL/L,,,,,Not Used in Prior Housing Element,52352.05176,944.2403138
8,5009003043,Nonvacant,4523 W SLAUSON AVE,LOS ANGELES CA,90043-2719,0.87583524,1973,7200,Institutional,Schools (Private),Non Vacant Use,NO - Privately-Owned,0,2,Coastal South Los Angeles,Westside Planning Area,LADERA HEIGHTS / VIEWPARK - WINDSOR HILLS,General Plan 2035,C-2,100,,0,,0,CG,100,,0,,0,,,0,,,0,,,0,0.68680626,35,20 du/net ac,50 du/net ac,Available,12,12,0,0,24,VL/L,,,,,Used in Prior Housing Element - Non-Vacant,29917.28223,695.944742
9,5807022025,Nonvacant,2361 FLORENCITA AVE,MONTROSE CA,91020-1817,1.44334339,1955,7200,Institutional,Schools (Private),Non Vacant Use,NO - Privately-Owned,0,5,San Gabriel Valley,West San Gabriel Valley Planning Area,LA CRESCENTA - MONTROSE,General Plan 2035,R-3,100,,0,,0,H30,100,,0,,0,,,0,,,0,,,0,3.17511473,96,20 du/net ac,30 du/net ac,Available,40,39,0,0,79,VL/L,,,,,Used in Prior Housing Element - Non-Vacant,138307.9951,1525.565041
10,2826095006,Nonvacant,25860 THE OLD ROAD,VALENCIA CALIFORNIA,91355,3.72339539,1998,1500,Commercial,"Shopping Centers (Neighborhood, community)",Non Vacant Use,NO - Privately-Owned,0,5,Santa Clarita Valley,Santa Clarita Valley Planning Area,SANTA CLARITA VALLEY,Santa Clarita Valley Area Plan,C-3-DP,100,,0,,0,CM,100,,0,,0,,,0,,,0,,,0,0.50823496,26,18 du/net ac,50 du/net ac,Available,9,9,0,0,18,VL/L,,,,,Not Used in Prior Housing Element,22138.7168,595.2227865
11,8212008022,Nonvacant,858 N SUNSET AVE,LA PUENTE CA,91744-2548,1.10277926,2003,1100,Commercial,Stores,Non Vacant Use,NO - Privately-Owned,0,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,WEST PUENTE VALLEY,General Plan 2035,C-2-DP,100,,0,,0,CG,100,,0,,0,,,0,,,0,,,0,1.62321222,82,20 du/net ac,50 du/net ac,Available,22,21,0,0,43,VL/L,,,,,Not Used in Prior Housing Element,70707.12891,1109.652848
